TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
06:39:41.477 kworker        1696237 nvme0n1 W    36177152   16384     0.775
06:39:41.477 kworker        1696237 nvme0n1 W    36315792   40960     0.843
06:39:41.478 kworker        1696237 nvme0n1 W    36177280   65536     1.195
06:39:41.478 kworker        1696237 nvme0n1 W    36322416   4096      0.494
06:39:41.478 kworker        1696237 nvme0n1 W    36170496   131072    1.739
06:39:41.478 kworker        1696237 nvme0n1 W    36316032   65536     1.261
06:39:41.478 kworker        1696237 nvme0n1 W    36315136   131072    1.630
06:39:41.478 kworker        1696237 nvme0n1 W    36323104   16384     0.537
06:39:41.478 kworker        1696237 nvme0n1 W    36317184   131072    1.750
06:39:41.479 kworker        1696237 nvme0n1 W    36229432   4096      0.661
06:39:41.479 kworker        1696237 nvme0n1 W    36323968   65536     1.282
06:39:41.479 kworker        1696237 nvme0n1 W    36321792   131072    1.918
06:39:41.481 kworker        1696237 nvme0n1 W    36231424   262144    3.021
06:39:41.695 amoprof        1787544 nvme1n1 W    608815056  4096      0.052
